12147,471,45,-4587,168,66,58
12157,477,69,-4569,126,65,49
12167,456,58,-4532,96,64,44
12177,488,33,-4540,71,63,41
12188,477,80,-4580,60,57,35
12196,473,79,-4559,47,60,36
12206,477,64,-4573,48,61,37
12216,480,43,-4557,45,60,37
12227,480,29,-4565,44,58,37
12237,480,30,-4581,42,60,36
12247,482,48,-4581,38,57,38
12257,465,50,-4589,39,58,36
12268,464,36,-4545,39,62,38
12276,468,52,-4553,34,63,36
12286,458,28,-4580,21,66,33
12296,473,23,-4598,9,69,32
12307,472,47,-4580,-14,74,29
12317,469,54,-4550,-34,83,27
12327,482,58,-4602,-48,93,29
12337,522,-108,-4983,-42,114,33
12347,507,65,-4572,-63,109,25
12356,488,71,-4581,-64,122,24
12366,486,61,-4616,-56,139,28
12376,494,51,-4626,-45,169,30
12386,470,24,-4660,-44,211,31
12397,494,48,-4671,-48,279,32
12407,505,23,-4794,-84,388,29
12417,493,28,-4760,-177,532,12
12425,511,95,-4756,-259,690,4
12436,514,229,-5268,-310,877,49
12446,496,158,-5239,-256,1510,99
12456,572,139,-5172,-124,2202,131
12466,673,121,-5346,-17,2640,171
12477,694,27,-5374,67,3005,191
12487,833,-36,-5457,152,3358,172
12497,865,31,-5668,158,3781,119
12507,946,8,-5730,64,4292,62
12515,976,-164,-6036,152,4792,-4
12526,967,6,-5946,400,5321,-83
12536,1114,190,-5698,561,6115,-83
12546,1042,14,-6190,762,6754,-45
12556,1285,16,-5821,1055,7197,-76
12567,1370,-172,-5716,1421,7598,-116
12577,1854,-343,-5978,1835,7932,-149
12587,2169,-291,-6218,2557,8066,-140
12595,2074,-288,-6206,2992,8138,-187
12606,2159,-648,-6259,3293,8137,-214
12616,2284,-568,-6282,3892,8050,-248
12626,2285,-462,-6011,4426,7942,-327
12636,2056,-507,-5552,4970,7966,-427
12646,1926,-45,-5390,5640,7972,-468
12657,1613,-172,-5439,5857,7639,-552
12667,-347,-114,-4737,6349,6884,-692
12675,-3801,2004,-4503,7222,5490,-1149
12685,-3532,4598,-4107,7080,3424,-2400
12696,-4381,5750,-5854,4874,1010,-4036
12706,-3328,3217,-4035,1822,-1771,-4852
12716,-2204,1661,-3186,894,-2827,-5157
12726,-2256,1752,-3379,1334,-2765,-5041
12737,-2738,2149,-3826,1519,-3130,-4465
12747,-2818,1994,-4066,1055,-4068,-3544
12755,-2518,1571,-4191,490,-5119,-2558
12765,-2107,1267,-4260,184,-6044,-1707
12776,-1592,1230,-4343,121,-6778,-1038
12786,-1125,1323,-4493,47,-7333,-553
12796,-723,1402,-4702,-209,-7747,-241
12806,-395,1295,-4864,-600,-8040,-122
12816,-80,1146,-5210,-959,-8234,-180
12825,189,1012,-5517,-1235,-8357,-371
12835,444,928,-5858,-1455,-8453,-657
12845,741,805,-6206,-1656,-8543,-969
12855,1065,668,-6390,-1795,-8572,-1262
12866,1470,656,-6500,-1871,-8440,-1484
12876,1906,771,-6731,-2014,-8159,-1630
12886,2368,788,-6968,-2259,-7767,-1730
12896,3182,687,-6987,-2578,-7342,-1931
12907,4045,327,-7023,-2967,-6853,-2301
12915,4947,-165,-6895,-3304,-6200,-2626
12925,5507,-484,-6793,-3266,-5461,-2860
12935,5626,-602,-6832,-2760,-4804,-2994
12945,5633,-475,-6606,-1942,-4511,-3007
12956,5881,-93,-6157,-1254,-4567,-2888
12966,6405,22,-5427,-1098,-4659,-2607
12976,6900,-255,-4475,-1343,-4494,-2169
12986,7215,-630,-3804,-1645,-3952,-1634
12995,7462,-1046,-3416,-1864,-3209,-1086
13005,10545,-3780,-5797,-1796,-2440,-628
13015,7942,-3078,-1117,52,-691,-298
13025,9411,-2219,-2649,1996,450,19
13036,9593,-1704,-2365,2579,1803,546
